gnis,place_name,state_code,source_url,status
2404696,"City of High Point",NC,"https://library.municode.com/nc/high_point, https://www.highpointnc.gov/",not_scraped
2409914,"City of Broken Arrow",OK,"https://library.municode.com/ok/broken_arrow, https://www.brokenarrowok.gov/",incomplete_scrape
2396178,"City of Peoria",IL,http://www.peoriagov.org/,not_scraped
1626588,"City of Lansing",MI,http://www.lansingmi.gov/,not_scraped
2404873,"City of Lakeland",FL,"https://library.municode.com/fl/lakeland, http://www.lakelandgov.net",not_scraped
2404547,"City of Pompano Beach",FL,"https://codelibrary.amlegal.com/codes/pompanobeach/latest/overview, https://www.pompanobeachfl.gov/",not_scraped
2410239,"City of Costa Mesa",CA,"https://ecode360.com/CO4918, https://www.costamesaca.gov/",not_scraped
2411501,"City of Pueblo",CO,"https://library.municode.com/co/pueblo, http://www.pueblo.us/",not_scraped
2410829,"City of Lewisville",TX,"https://library.municode.com/tx/lewisville, http://www.cityoflewisville.com/",not_scraped
2404249,"City of Miami Gardens",FL,"https://library.municode.com/fl/miami_gardens, https://www.miamigardens-fl.gov/",scraped
2411629,"City of Las Cruces",NM,"https://library.municode.com/nm/las_cruces, https://www.lascruces.gov",not_scraped
2411994,"City of Sugar Land",TX,"https://library.municode.com/tx/sugar_land, https://www.sugarlandtx.gov/",not_scraped
2411199,"City of Murrieta",CA,"https://codelibrary.amlegal.com/codes/murrieta/latest/overview, https://www.murrietaca.gov",not_scraped
